,folio,Documento,Cliente,Clave,Cantidad,SKUVARI,Precio,Fecha,Almacen
288,2,VTAWEB #44772,WEB,44772,1.0,TS50053A,141.0,2024-11-30, 1
289,2,VTAWEB #44777,WEB,44777,1.0,TS51030,94.0,2024-11-30, 1
290,2,VTAWEB #44659,WEB,44659,1.0,TS51036,110.0,2024-11-30, 1
291,2,VTAWEB #44820,WEB,44820,1.0,TS51037,110.0,2024-11-30, 1
292,2,VTAWEB #44659,WEB,44659,1.0,TS51037,110.0,2024-11-30, 1
293,2,VTAWEB #44277,WEB,44277,1.0,TS51040,75.0,2024-11-30, 1
294,2,VTAWEB #44277,WEB,44277,1.0,TS51041,75.0,2024-11-30, 1
295,2,VTAWEB #44793,WEB,44793,1.0,TS51053,118.0,2024-11-30, 1
296,2,VTAWEB #44813,WEB,44813,2.0,TS51060,40.0,2024-11-30, 1
297,2,VTAWEB #44813,WEB,44813,2.0,TS51062,40.0,2024-11-30, 1
298,2,VTAWEB #44770,WEB,44770,2.0,TS51062,40.0,2024-11-30, 1
299,2,VTAWEB #44663,WEB,44663,1.0,TS51062,40.0,2024-11-30, 1
300,2,VTAWEB #44770,WEB,44770,2.0,TS51063,40.0,2024-11-30, 1
301,2,VTAWEB #44767,WEB,44767,1.0,TS51064,54.0,2024-11-30, 1
302,2,VTAWEB #44772,WEB,44772,1.0,TS51066,40.0,2024-11-30, 1
303,2,VTAWEB #44813,WEB,44813,2.0,TS51067,53.0,2024-11-30, 1
304,2,VTAWEB #44770,WEB,44770,2.0,TS51067,53.0,2024-11-30, 1
305,2,VTAWEB #44772,WEB,44772,1.0,TS51070,46.0,2024-11-30, 1
306,2,VTAWEB #44797,WEB,44797,1.0,TS51073,390.0,2024-11-30, 1
307,2,VTAWEB #44777,WEB,44777,1.0,TS51093,54.0,2024-11-30, 1
308,2,VTAWEB #44770,WEB,44770,3.0,TS51093,54.0,2024-11-30, 1
309,2,VTAWEB #44277,WEB,44277,1.0,TS51102,320.0,2024-11-30, 1
310,2,VTAWEB #44775,WEB,44775,1.0,TS52022,699.0,2024-11-30, 1
311,2,VTAWEB #44811,WEB,44811,1.0,TS52031,285.0,2024-11-30, 1
312,2,VTAWEB #44800,WEB,44800,1.0,TS52031,285.0,2024-11-30, 1
313,2,VTAWEB #44795,WEB,44795,1.0,TS52031,285.0,2024-11-30, 1
314,2,VTAWEB #44811,WEB,44811,1.0,TS52037,371.0,2024-11-30, 1
315,2,VTAWEB #44795,WEB,44795,1.0,TS52037,371.0,2024-11-30, 1
316,2,VTAWEB #44728,WEB,44728,5.0,TS52053,288.0,2024-11-30, 1
317,2,VTAWEB #44794,WEB,44794,1.0,TS52053,288.0,2024-11-30, 1
318,2,VTAWEB #44792,WEB,44792,1.0,TS52053,288.0,2024-11-30, 1
319,2,VTAWEB #44307,WEB,44307,1.0,TS52053,288.0,2024-11-30, 1
320,2,VTAWEB #44770,WEB,44770,1.0,TS52067,158.0,2024-11-30, 1
321,2,VTAWEB #44663,WEB,44663,1.0,TS52068,158.0,2024-11-30, 1
322,2,VTAWEB #44595,WEB,44595,2.0,TS52104,230.0,2024-11-30, 1
323,2,VTAWEB #44775,WEB,44775,1.0,TS53017,934.0,2024-11-30, 1
324,2,VTAWEB #44776,WEB,44776,1.0,TS53063,264.0,2024-11-30, 1
325,2,VTAWEB #44735,WEB,44735,5.0,TS53077,280.0,2024-11-30, 1
326,2,VTAWEB #44787,WEB,44787,1.0,TS53077,280.0,2024-11-30, 1
327,2,VTAWEB #44770,WEB,44770,1.0,TS53077,280.0,2024-11-30, 1
